class,path,width,height,alpha_bbox,pair_key,source
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/03_headers_accents/icon_controller.png,36,47,"0,0,36,47",icon_controller,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/03_headers_accents/icon_controller.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/03_headers_accents/icon_shadow.png,37,48,"0,0,37,48",icon_shadow,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/03_headers_accents/icon_shadow.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/03_headers_accents/icon_gravity.png,52,48,"0,0,52,48",icon_gravity,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/03_headers_accents/icon_gravity.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/03_headers_accents/title_bar_clean.png,204,91,"0,0,204,91",title_bar,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/03_headers_accents/title_bar_clean.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/03_headers_accents/icon_music.png,52,47,"0,0,52,47",icon_music,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/03_other_menus_clean/minigames/03_headers_accents/icon_music.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/buttons/blank_button_style_01.png,1536,1024,"18,32,1517,982",button_style_01,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/buttons/blank_button_style_01.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/buttons/blank_button_style_03.png,1536,1024,"9,35,1536,952",button_style_03,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/buttons/blank_button_style_03.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/buttons/blank_button_style_02.png,1536,1024,"0,35,1536,982",button_style_02,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/buttons/blank_button_style_02.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/32_arrow_orange.png,115,140,"0,0,115,139",32_arrow_orange,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/32_arrow_orange.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/31_p2_badge.png,190,165,"0,0,190,165",31_p2_badge,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/31_p2_badge.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/28_empty_plate_orange.png,355,100,"0,0,355,100",28_empty_plate_orange,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/28_empty_plate_orange.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/35_energy_streak_blue.png,76,214,"0,0,70,214",35_energy_streak_blue,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/35_energy_streak_blue.png
clean,_OUR_STYLE_UI_ELEMENTS/clean/master_previous/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/09_ki_segment_bar.png,487,75,"6,0,487,75",09_ki_segment_bar,master_previous:dragonmine_complete_ui_elements_master_bundle/06_all_chat_clean_collection/all_chat_clean_ui_elements_bundle/01_xenoverse_party_hud_clean/core_elements/09_ki_segment_bar.png
